BandNumber,fixes_n,Location,Sex,Morph,MinTimeGap,MeanTimeGap,MaxTimeGap
101-18502,1613,HER,M,White,1,5.86,361
101-18504,758,HER,M,Grey,1,7.1,164
101-18505,1396,HER,M,White,1,8.04,336
101-18506,4260,HER,M,White,2,4.16,40
101-18507,8822,HER,F,White,1,4.41,80
101-18508,1170,HER,F,Grey,1,5.79,208
101-18509,3137,HER,M,White,1,7.57,220
101-18510,7578,HER,F,Grey,1,5.13,144
101-18511,2388,HER,F,Grey,1,5.11,118
101-18513,2717,OTI,M,White,0.07,3.49,752
101-18514,1783,OTI,F,White,0.07,3.93,715.95
101-18515,1867,OTI,M,White,0.07,5.36,2280.82
101-18516,3630,OTI,F,White,0.07,2.36,630.33
101-18518,52,HER,M,Grey,2,6.43,58
